Complaint Name,Project,Country,IAM,Bank,External ID,Status,Filer,IFI Support,Sector,Issues,Description,Compliance Report Issued,Non-Compliance Found,Filing Date,Registration Start,Registration End,Registration Status,"If no Registration, why?",Eligibility Start,Eligibility End,Eligibility Status,"If No Eligibility, Why?",Dispute Resolution Start,Dispute Resolution End,Dispute Resolution Status,"If No DR, Why?",Compliance Review Start,Compliance Review End,Compliance Review Status,"If No CR, Why?",Monitoring Start,Monitoring End,Monitoring Status,"If No Monitoring, Why?",Date Closed,Access to electricity (% of population),Agricultural land (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Forest area (% of land area),Renewable internal freshwater resources per capita (cubic meters),GDP per capita (current US$),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Literacy rate, adult total (% of people ages 15 and above)",Net ODA received per capita (current US$),Population density (people per sq. km of land area),Rural population (% of total population),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area)
"A4 Motorway, Zgorzelec - Krzyowa","A4 Motorway, Zgorzelec - Krzyowa",Poland,EIB Complaints Mechanism,European Investment Bank,SG/E/2015/07,Active,,Project/investment lending,Infrastructure,Other,,FALSE,FALSE,5/20/15,5/20/15,,closed_with_outcome,,,,closed_with_outcome,,,,,,,,,,,,,,,100,46.9349097,25.56731512,30.81420033,,12566.48344,48.99599838,65.08200073,,,124.0615696,39.722,312680,
ABCI Investments,ABCI Investments,Netherlands,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_28,Closed Without Results,,,Other,Other,,FALSE,FALSE,1/1/07,,,not_undertaken,,1/1/07,1/31/07,closed_without_outcome,Outside of mandate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,1/31/07,100,56.70616114,,10.9063981,671.4811458,51241.31562,58.42399979,72.91300201,,,485.2398104,15.461,41540,
ACME Energy-01,ACME Energy-01,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_80,Closed Without Results,,,Other,Other,,FALSE,FALSE,7/1/13,,,not_undertaken,,7/1/13,7/31/13,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,7/31/13,79.59911346,60.43946065,68.95144345,23.65311332,,1452.195373,26.96100044,79.40799713,,1.921173633,430.030441,67.997,3287260,
AD Hydro Power Limited-01/Himachal Pradesh,AD Hydro Power Limited-01/Himachal Pradesh,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,75,Closed With Results,,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,FALSE,FALSE,10/1/04,,,not_undertaken,,10/1/04,,closed_with_outcome,,3/23/05,,closed_with_outcome,,,,not_undertaken,Case closed in earlier stage,7/1/06,2/1/08,closed_with_outcome,,3/31/08,64.4,60.66716221,,22.61718895,,621.3183767,36.19900131,82.96900177,,0.691133357,378.7634753,71.097,3287260,
AD Hydro Power Limited-02/Jagat Sukh,AD Hydro Power Limited-02/Jagat Sukh,India,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_13,Closed Without Results,,Project/investment lending,Energy,"Consultation and disclosure, Cultural heritage, Due diligence, Water",,FALSE,FALSE,8/1/05,,,not_undertaken,,8/1/05,9/30/05,closed_without_outcome,Issues previously raised,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,9/30/05,66.93244934,60.58341377,65.65708764,22.77318301,,707.008019,36.7840004,83.09100342,,1.639655084,384.8118264,70.765,3287260,
AEF Lesiolo Grain Handlers Limited-01/Nakuru,AEF Lesiolo Grain Handlers Limited-01/Nakuru,Kenya,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_20,Closed Without Results,,Project/investment lending,Manufacturing,Other,,FALSE,FALSE,4/1/06,,,not_undertaken,,4/1/06,4/30/06,closed_without_outcome,"Outside of mandate, Forwarded to other body within bank",,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/06,22.86313248,47.53487718,,7.175036019,,697.0066385,60.40000153,69.78500366,,25.41424833,65.10182029,77.955,580370,
AES PNG-01/Roku Village,AES PNG-01/Roku Village,Papua New Guinea,IFC Compliance Advisor/Ombudsman,IFC/MIGA,228,Closed Without Results,,Project/investment lending,"Infrastructure, Manufacturing","Cultural heritage, Displacement (physical and/or economic), Due diligence, Indigenous peoples, Other environmental",,FALSE,FALSE,9/29/14,,,not_undertaken,,9/29/14,10/1/14,closed_with_outcome,,,,not_undertaken,Actor(s) involved refused to participate,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,4/30/15,21.44621468,2.627743674,13.94665602,74.11076271,103277.7469,2973.270549,69.23899841,71.29000092,,75.02915566,17.12623106,87.012,462840,
AES Sonel - Electricity Supply,AES Sonel - Electricity Supply,Cameroon,EIB Complaints Mechanism,European Investment Bank,SG/E/2014/01,Closed Without Results,,Project/investment lending,"Energy, Infrastructure","Consultation and disclosure, Due diligence, Labor, Other environmental",,FALSE,FALSE,1/21/14,1/21/14,1/23/14,closed_with_outcome,,1/23/14,,closed_with_outcome,,,,not_undertaken,Unknown,11/26/14,12/26/14,in_progress,,,,not_undertaken,Case closed in earlier stage,12/31/14,,20.62575363,69.50826883,40.26993294,12275.23284,1571.182535,71.00700378,81.45200348,,38.49477048,47.04766982,46.024,475440,
AES Sonel-01/Douala,AES Sonel-01/Douala,Cameroon,IFC Compliance Advisor/Ombudsman,IFC/MIGA,no_id_21_67,Closed Without Results,,,Other,Other,,FALSE,FALSE,9/1/12,,,not_undertaken,,9/1/12,11/30/12,closed_without_outcome,Unknown,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,11/30/12,,20.62575363,75.04002265,41.20073618,12949.20029,1380.509848,70.79000092,81.48600006,,28.32554555,44.59897823,47.231,475440,
AES Sonel-02/Doula,AES Sonel-02/Doula,Cameroon,IFC Compliance Advisor/Ombudsman,IFC/MIGA,198,Closed Without Results,,Project/investment lending,"Energy, Infrastructure",Labor,,FALSE,FALSE,2/21/13,,,not_undertaken,,2/21/13,3/1/13,closed_with_outcome,,6/1/13,12/1/13,closed_without_outcome,,,,not_undertaken,Case closed in earlier stage,,,not_undertaken,Case closed in earlier stage,6/30/14,,20.62575363,73.84895647,40.73533456,,1493.746567,70.90299988,81.4960022,,34.7233975,45.81184024,46.627,475440,
