IAM Acronym,Bank Acronym,IAM id,Year Filed,Case Name,Global Region (1),Global Region (2),Country,External ID,Date Filed,Month Closed,Year Closed,Still open as of 12/31/15?,Status as of 12/31/15,Results achieved by 12/31/15?,Type of Filer (1),Type of Filer (2),Type of Filer (3),Filer Name(s) if organization,Other groups supporting complaint?,Type of Supporting Organization(s) (1),Type of Supporting Organization(s) (2),Name of supporting organization(s),Type of IFI Support (1),Type of IFI Support (2),Sector/Industry (1),Sector/Industry (2),Public or private?,Issue Raised (1),Issue Raised (2),Issue Raised (3),Issue Raised (4),Issue Raised (5),Issue Raised (6),Issue Raised (7),Issue Raised (8),Issue Raised (9),Issue Raised (10),Is Registered,Date Registered,Is Eligible,Date determined eligible,If no Eligibility why 1,If no Eligibility why 2,If no Eligibility why 3,If no Eligibility why 4,Problem-Solving initiated,Date PS initiated,Duration of PS (months),If no Dispute Resolution why,Settlement reached in PS?,Compliance Review initiated,Date CR initiated,Duration of CR (months),If no Compliance Review why,Was non-compliance found?,Was a management action plan produced?,Monitoring initiated,Date monitoring initiated,Duration of monitoring (months),If no Monitoring why,Duration from filing until case closed or monitoring started,"If closed as of 12/31/15, duration of process in months",Was a compliance report published,Who inputted data?
SPF CRP,ADB,25,2004,Melamchi Water Supply Project (MWSP),South Asia,N/A,Nepal,1/2004*,5/3/04,12,2004,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Consultation and disclosure,Due diligence,Displacement (physical and/or economic),Indigenous peoples,Livelihoods,N/A,N/A,N/A,N/A,N/A,Yes,5/3/04,Yes,5/11/04,N/A,N/A,N/A,N/A,No,N/A,N/A,Complainant chose not to have PS,N/A,No,N/A,N/A,IAM deemed unnecessary or inappropriate,N/A,N/A,No,N/A,N/A,Case closed before monitoring,7,7,N/A,
SPF CRP,ADB,25,2004,Southern Transport Development Project (STDP),South Asia,N/A,Sri Lanka,2004/1,6/9/04,8,2011,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,"Unified Society for the Protection of Akmeemana (USPA), Gama Surakeema Sanvidhaniya (GSS)",Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,N/A,Public,Displacement (physical and/or economic),Due diligence,Consultation and disclosure,Cultural heritage,Other environmental,N/A,N/A,N/A,N/A,N/A,Yes,6/16/04,Yes,7/5/04,N/A,N/A,N/A,N/A,Yes,9/17/04,5,N/A,No,Yes,10/1/05,7,N/A,Yes,Yes,Yes,7/28/05,73,N/A,13,86,Yes,
SPF CRP,ADB,25,2004,Sixth Road Project,East Asia & the Pacific,N/A,Philippines,3/2004*,9/27/04,10,2004,No,Closed without results,No,Corporation(s),N/A,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Regulatory Development,Public,Due diligence,Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,9/28/04,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2005,Community Empowerment for Rural Development Project,East Asia & the Pacific,N/A,Indonesia,1/2005*,2/21/05,5,2006,No,Closed with results,Yes,Domestic CSO(s),Individual(s),N/A,"Yayasan Cakrawala Hijau Indonesia (YCHI), Lembaga, Kajian Keislaman & Kemasiarakatan (LK3), Yayasan Duta Awam (YDA)",Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Community capacity and development,Infrastructure,Public,Consultation and disclosure,Livelihoods,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,3/9/05,Yes,3/23/05,N/A,N/A,N/A,N/A,Yes,5/5/05,7,N/A,Yes,No,N/A,N/A,Complainant did not refile,N/A,N/A,Yes,12/13/04,6,N/A,10,15,N/A,
SPF CRP,ADB,25,2005,Chasma Right Bank Irrigation Project-Stage III,South Asia,N/A,Pakistan,1/2006*,12/14/05,12,2006,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Agribusiness,Public,Water,Livelihoods,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,12/15/06,No,N/A,Other,Good faith requirement not met,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,12,12,N/A,
SPF CRP,ADB,25,2006,Khulna-Jessore Drainage Rehabilitation Project,South Asia,N/A,Bangladesh,2/2006*,1/4/06,1,2006,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Agribusiness,Public,Consultation and disclosure,Livelihoods,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/4/06,No,N/A,Project Completion Report issued,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,0,0,N/A,
SPF CRP,ADB,25,2006,"Rural Electrification, Distribution and Transmission Project-Thankot-Chapagaun-Bhaktapur 132 kV Transmission Line",South Asia,N/A,Nepal,3/2006*,4/25/06,9,2006,No,Closed without results,No,Individual(s),N/A,N/A,N/A,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Energy,Infrastructure,Public,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,4/28/06,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,5,5,N/A,
SPF CRP,ADB,25,2006,National Highway Development Sector Investment Program,South Asia,N/A,Pakistan,4/2006*,9/9/06,3,2010,No,Closed with results,Yes,Local community-based organization(s),N/A,N/A,Committee of Affectees of Muzaffargarh Bypass,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Regulatory Development,Public,Displacement (physical and/or economic),Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/10/07,Yes,1/29/07,N/A,N/A,N/A,N/A,Yes,12/3/07,2,N/A,Yes,No,N/A,N/A,Complainant did not refile,N/A,N/A,Yes,5/17/07,34,N/A,8,42,N/A,
SPF CRP,ADB,25,2006,Assam Power Sector Development Project,South Asia,N/A,India,5/2006*,10/31/06,11,2006,No,Closed without results,No,Corporation(s),N/A,N/A,Unknown,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Energy,Public,Procurement,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,11/2/06,No,N/A,Raised procurement issues,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,1,1,N/A,
SPF CRP,ADB,25,2006,GMS Mekong Tourism Development Project,East Asia & the Pacific,N/A,Vietnam,6/2006*,12/13/06,2,2007,No,Closed without results,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Project/investment lending,N/A,Infrastructure,Community capacity and development,Public,Displacement (physical and/or economic),Livelihoods,Consultation and disclosure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,1/9/07,No,N/A,Good faith requirement not met,N/A,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,No,N/A,N/A,Complaint originally deemed ineligible,N/A,N/A,No,N/A,N/A,Complaint originally deemed ineligible,2,2,N/A,
