,new_countries
0,Union of the Comoros
1,Kingdom of Lesotho
2,Eastern Africa
3,Islamic Republic of Pakistan
4,Russian Federation
5,State of Israel
6,St. Lucia
7,People's Republic of Bangladesh
8,Organization of Eastern Caribbean States
9,Cabo Verde
10,Socialist Federal Republic of Yugoslavia
11,Co-operative Republic of Guyana
12,Latin America
13,former Yugoslav Republic of
14,West Bank and Gaza
15,The Gambia
16,United Mexican States
17,The Independent State of Papua New Guine
18,Plurinational State of Bolivia
19,Democratic Republic of Sao Tome and Prin
20,Federal Republic of Nigeria
21,Socialist People's Libyan Arab Jamahiriy
22,Aral Sea
23,Caribbean
24,Federative Republic of Brazil
25,Syrian Arab Republic
26,Kingdom of Belgium
27,Sultanate of Oman
28,French Republic
29,Cote d'Ivoire
30,Islamic Republic of Iran
31,Federated States of Micronesia
32,Mekong
33,Kingdom of Cambodia
34,Argentine Republic
35,Federal Democratic Republic of Ethiopia
36,Commonwealth of Australia
37,the Marshall Islands
38,Andean Countries
39,the Philippines
40,Kingdom of Tonga
41,East Asia and Pacific
42,Somali Democratic Republic
43,Europe and Central Asia
44,Socialist Republic of Vietnam
45,People's Democratic Republic of Algeria
46,St. Vincent and the Grenadines
47,Kingdom of Spain
48,Sint Maarten
49,State of Eritrea
50,World
51,Lebanese Republic
52,Kingdom of Thailand
53,Asia
54,St. Kitts and Nevis
55,Western Africa
56,Central Asia
57,Democratic Socialist Republic of Sri Lan
58,Kingdom of Denmark
59,Democratic Republic of Timor-Leste
60,Hellenic Republic
61,Pacific Islands
62,Lao People's Democratic Republic
63,Islamic Republic of Mauritania
64,Italian Republic
65,United Republic of Tanzania
66,Middle East and North Africa
67,Portuguese Republic
68,Kosovo
69,the Union of Myanmar
70,Africa
71,Kingdom of Norway
72,Caucasus
73,Arab Republic of Egypt
74,EU Accession Countries
75,Oriental Republic of Uruguay
76,Democratic Republic of the Congo
77,Multi-Regional
78,Kingdom of the Netherlands
79,Republica Bolivariana de Venezuela
80,Commonwealth of The Bahamas
81,Central Africa
82,Islamic  Republic of Afghanistan
83,Western Balkans
84,Commonwealth of Dominica
85,Kingdom of Bhutan
86,Southern Africa
87,Korea
88,Red Sea and Gulf of Aden
89,South Sudan
90,Hashemite Kingdom of Jordan
91,Gabonese Republic
92,Central America
93,Grand Duchy of Luxembourg
94,People's Republic of China
95,the Sudan
96,Mercosur
97,Kingdom of Eswatini
98,Kingdom of Morocco
