Bank,IAM,IAM ID,Year,Country,Project Name,Project Description,Complaint ID,Complaint Description,Filer(s),Filer Type,Environmental Category,Project Company,Project Number,Project Status,IFI Support Type,Financial Institution,Money,Project Loan Amount,Sector,Project Approval Date,Issues,Complaint Status,Date Filed (YYYY-DD-MM),Registration Start Date (YYYY-DD-MM),Registration End Date (YYYY-DD-MM),Registered? (Y/N),"If no registration, why?",Eligibility Start Date (YYYY-DD-MM),Eligibility End Date (YYYY-DD-MM),Eligible (Y/N),"If not eligibile, why?",Dispute Resolution Start Date,Dispute Resolution End Date,"If no DR, why?",Consultation and disclosure Review Start Date,Consultation and disclosure Review End Date,"If no CR, why?",Consultation and disclosure report published? (Y/N),Non-Consultation and disclosure Found (Y/N),Monitoring Start Date,Monitoring End Date,Date Closed,Project Hyperlink,Complaint Hyperlink,Documents
UNDP,SECU,37,2015,India,India High Range Mountain Landscape Project (IHRML),"The project will put in place a cross-sectoral land use management framework, and compliance monitoring and enforcement system to ensure that development in production sectors such as tea, cardamom and tourism is congruent with biodiversity conservation needs – to achieve the long term goal of conserving globally significant biological diversity in the High Ranges of the Western Ghats. It will seek to establish a conservation compatible mosaic of land uses, anchored in a cluster of protected areas, by engineering a shift in governance approach towards a cross-sectoral, coordinated planning, implementation and compliance monitoring so that cumulative direct and indirect impacts of different production activities across economic sectors on biodiversity is managed, reduced and mitigated. Total Budget: US$ 36,275,000. Total allocated resources (GEF): US$ 6,275,000. Partner-managed: - Government: US$ 28,000,000 - UNDP-Managed: US$ 1,000,000 - Private Sector: US$ 1,000,000",SECU0001,"The complaint states concern that, among other things, there was improper consultation and exclusion of relevant stakeholders during the design and formulation of the project. It expresses concern that stakeholders' rights, such as the requirement of Free, Prior, Informed Consent and certain relevant national laws, were not properly adhered to when formulating the project. The complainant further states that people potentially affected by the project protest and are apathetic to the project, and that the project documentation improperly refers to relevant lands as protected areas when in fact they are not. ",Joice George M.P,,,Government Entity – Ministry - Implementing Partner: Government of India; Responsible Partner: Government of Kerala,,,,,,,,,Consultation and disclosure; Biodiversity; Cultural heritage; Displacement (physical and/or economic); Indigenous peoples; Human rights; Consultation and disclosure,Closed,12/10/15,12/16/15,12/16/15,,,3/1/16,8/26/16,,,,,,8/26/16,11/28/16,,,,,,2/2/18,,https://info.undp.org/sites/registry/secu/SECUPages/CaseDetail.aspx?ItemID=6,
UNDP,SECU,37,2018,Jordan,Improving Solid Waste Management and Income Creation in Host Communities- Rehabilitation of Al Alake,"The deterioration of the Other community health and safety issues and humanitarian situation in Syria has forced hundreds of thousands of Syrians to flee and seek refuge in neighbouring countries, including Jordan, placing a considerable burden on local Jordanian host communities and their basic social and economic services. Crowding effects in the local market, in particular with regards to housing and labour, are widely reported in the Northern governorates as is the pressure on basic service delivery, especially solid waste management, where municipalities are unable to meet the demands. In addition, a growing feeling of unfairness and exclusion are emerging among Jordanians, especially the poorer and more vulnerable groups. One of the major issues faced at the regional level is solid waste management and treatment, and UNDP will provide support to the Joint Services Council in the Northern governorate of Irbid, to improve solid waste management at the Alakedir dumping site while offering durable solutions for improvement of social service delivery to the affected populations through ensuring that the assistance provided in the current context complements, governmental development efforts. The current project proposal is an integral part of the overall programme framework “Mitigating the impact of the Syrian refugee crisis on Jordanian vulnerable host communities”, signed by UNDP and the Government of Jordan. ",SECU0007,"The complainant alleges that after becoming aware of the construction of a waste management and transfer station in Jerash area, Jordan, they protested its establishment to avoid negative environmental and social impacts. The complainant sought documents to which they were entitled, such as the Environmental Impact Assessment, and claim to have been denied access by the UNDP Country Office. They sought to engage with UNDP as stakeholders on the project on the project and were rebuffed. The allegations state that the rejections from UNDP Jordan were accompanied by harassment and retaliation. Complainant notes that they are the recipient of a Global Environment Facility (GEF) small grant. The Complainant alleges that the waste management/transfer station appears to have been stopped, but that the failure of proper natural resource management by UNDP and damage to regional biodiversity remain major problems for the community. ",Dibeen Association for Environmental Development,,,UNDP ,,,,,,,,,Consultation and disclosure; Biodiversity; Other environmental; Human rights; Human rights; Monitoring; Consultation and disclosure; Other environmental; Pollution,Active,6/5/18,6/12/18,6/12/18,,,,,,,,,,,,,,,,,,,https://info.undp.org/sites/registry/secu/SECUPages/CaseDetail.aspx?ItemID=25,https://info.undp.org/sites/registry/secu/SECU_Documents/SECU0006_Eligibility%20Determination_Ar54ddd4deeadf44b393e62f49540bd2fe.pdf/sites/registry/secu/SECU_Documents/SECU0006_Eligibility%20Determination9fa339f6fd9e4187b918200145ab0765.pdf
GCF,IRM,,2017,Bangladesh,Climate-Resilient Infrastructure Mainstreaming in Bangladesh,"Providing cyclone shelters and safeguarding critical road access to protect lives in a rural coastal region of Bangladesh. Developing urban infrastructure and safeguarding vulnerable city-dwellers from climate risk. Establishing a national centre of excellence for climate resilience infrastructure, to inform and guide future infrastructure development throughout the country.",17/C001,,Local residents of Satkhira with the support of Transparency International Bangladesh,"Individual, International CSO",B,,FP004,,Grant,GCF Financing,40000000,USD 40.0 million,Infrastructure,11/30/0205,Pollution,Closed without Output,10/12/17,,10/23/17,10/23/17,11/14/17,no,Outside of Mandate,,,,,,,,,,,11/14/17,https://www.greenclimate.fund/-/climate-resilient-infrastructure-mainstreaming-in-bangladesh,https://irm.greenclimate.fund/case-register,https://irm.greenclimate.fund/documents/1061332/1198301/17_C001_-_Ineligibility_Report.pdf/2a1c9258-8219-502a-c739-d88be2fad1c8,,
GCF,IRM,,2017,Bangladesh,Climate-Resilient Infrastructure Mainstreaming in Bangladesh,"Providing cyclone shelters and safeguarding critical road access to protect lives in a rural coastal region of Bangladesh. Developing urban infrastructure and safeguarding vulnerable city-dwellers from climate risk. Establishing a national centre of excellence for climate resilience infrastructure, to inform and guide future infrastructure development throughout the country.",17/C001,,Local residents of Satkhira with the support of Transparency International Bangladesh,"Individual, International CSO",B,,FP004,,Grant,GCF Financing,40000000,USD 40.0 million,Infrastructure,11/30/0205,Pollution,Closed without Output,10/12/17,,10/23/17,,,10/23/17,11/14/17,no,Outside of Mandate,,,,,,,,,,,11/14/17,https://www.greenclimate.fund/-/climate-resilient-infrastructure-mainstreaming-in-bangladesh,https://irm.greenclimate.fund/case-register,https://irm.greenclimate.fund/documents/1061332/1198301/17_C001_-_Ineligibility_Report.pdf/2a1c9258-8219-502a-c739-d88be2fad1c8
UNDP,SECU,37,2017,Bosnia and Herzegovi,UN response to BiH floods,"The project aims to provide floods response and recovery assistance to flood-affected localities in Bosnia and Herzegovina. Specifically it will i) provide support to the floods response phase, ii) provide floods recovery assistance jointly with bilaterals to help restore livelihoods, reconstruct public spaces for children and assist public service delivery; iii) provide floods recovery assistance jointly with the European Union to affected local governments, public institutions and private sector representatives to restore functionality, as well as reconstruct damaged homes and iv) offer disaster risk reduction assistance to government stakeholders.",SECU0003,"he complainant claims loss of livelihood due to the planting of contaminated raspberry seedlings provided by UNDP, indicating that their land has been rendered unusable, resulting in various damages. The complainant has claimed a violation of national legal regulations and provisions for the inspection of imported goods. The complainant has indicated that a significant number of his/her neighbors may have also been provided contaminated raspberry seedlings. ",Confidential,,,UNDP,,,,,,,,,Biodiversity; Displacement (physical and/or economic); Other environmental; Pollution,Active,6/16/17,6/21/17,6/21/17,,,7/24/17,1/15/18,,,,,,1/15/18,6/8/18,,,,,,,,https://info.undp.org/sites/registry/secu/SECUPages/CaseDetail.aspx?ItemID=21,"https://info.undp.org/sites/registry/secu/SECU_Documents/Signed%20Prodoc_Business%20call%20to%20Action%20Alliance%20Phase%20II_15c49addbcc744fd9e77487e3e7c2481.pdfhttps://info.undp.org/sites/registry/secu/SECU_Documents/SECU0002%20Eligibility%20Determination_Final_Signed91e66ae0db554a378376fde301c98796.pdf,https://info.undp.org/sites/registry/secu/SECU_Documents/SECU0002_Terms%20of%20Reference%20Investigation_Final_Signed4985a4d9c5184134b8b3de2de5df50ed.pdfhttps://info.undp.org/sites/registry/secu/SECU_Documents/Due_Diligence_UNDP-PSD%20Form%20Blankba151e0236aa457f86dffa6961fdfbe8.pdf/sites/registry/secu/SECU_Documents/UNDP%20private%20sector%20due%20diligence%20policy%202013_FINAL(1)51f09204a186448aaffafedee5ee64d5.pdf/sites/registry/secu/SECU_Documents/UNDP%20Private%20Sector%20Risk%20Assessment%20Tool%202015(1)e84ce11eebfe46c6af5e09e9c6f7e685.pdf,https://info.undp.org/sites/registry/secu/SECU_Documents/Consultation and disclosure%20Review%20DRAFT_For%20Public%20Comment_SECU000241cbb806019c465b91108a5761bda402.pdfhttps://info.undp.org/sites/registry/secu/SECU_Documents/Consultation and disclosure%20Review%20Report%20FINAL_SECU000280119c4cb32f4f96bf3e39fe81628dad.pdf/sites/registry/secu/SECU_Documents/SECU0002_Comments%20Matrix_Finale315c2ad473344c68c9ddff533126fe8.pdfhttps://info.undp.org/sites/registry/secu/SECU_Documents/BCtA%20Management%20Plan%20SECU00027e78fc69f8724c688b79b2595f262e83.pdf/sites/registry/secu/SECU_Documents/Decision%20-SECU-Report-BCfb88b87efe3840acb5403816481ada1a.pdf"
IFC,CAO,21,2016,Costa Rica,Reventazon HPP-01/Siquirres,"IFCs active project consists in the development, construction and operation of a 305.5 MW hydropower generation plant in the Reventazn river basin located in Siquirres, province of Limn, Costa Rica. The project is expected to generate around 1,400 GWh annually once operational.  IFCs commitment is a US$100 million A loan. ",250,,Local community members,,A,Fideicomiso Uno P.H. Reventazon /I.C.E./ Scotiaban,31383,,,IFC,100000000,US$100 million A loan,Infrastructure,,Biodiversity; Other environmental; Displacement (physical and/or economic),Active,13-Sep-16,,,,,13-Sep-16,2016-30-09,Yes,,,,Actor(s) involved refused to participate; Company or government refused to go through dispute resolution,1/11/17,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=250,http://www.cao-ombudsman.org/cases/document-links/links-250.aspx
,CAO,21,2018,Georgia,Adjaristsqali Georgia LLC,"The Adjaristsqali Georgia LLC (AGL) project involves the construction of a cascade of hydroelectric power plants in the Adjaristsqali region, Adjara, Georgia. The cascade was originally proposed to include three phases, namely the 185 megawatt (MW) Shuakhevi scheme, the 150MW Koromkheti scheme, and the 65MW Khertvisi scheme.   The Khertvisi scheme was not pursued by AGL due to significant economic and environmental risks and Koromkheti is in early stages of development under a separate InfraVentures project. Therefore only Shuakhevi is considered the Project and is being developed by Adjaristsqali Georgia LLC (AGL) as a joint venture between Indias Tata Power, Norways Clean Energy Invest (40 percent each) and IFC (20 percent). IFCs investment consists of an A loan of up to US$70 million and straight equity of up to $34 million (IFC project numbers 33435 and 37781). IFC also had an Advisory Services project to advise on AGLs retrenchment strategy and associated implementation plans, including sustainable livelihood opportunities for the communities and workforce (IFC project number 601449).   In addition to IFC, MIGA is providing a $63 million guarantee to Tata Power International Pte. Ltd. to cover its equity investment in the project (MIGA project number 12315).",1271,,,,A,,12315,,,,350000000,"$250 Loans, $34m Equity (IFC) and $63m guarantee",Extractives,,Biodiversity; Other environmental; Other community health and safety issues,Active,15-Feb-18,,,,,15-Feb-18,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1271,
,CAO,21,2018,Georgia,Adjaristsqali Georgia LLC,"The Adjaristsqali Georgia LLC (AGL) project involves the construction of a cascade of hydroelectric power plants in the Adjaristsqali region, Adjara, Georgia. The cascade was originally proposed to include three phases, namely the 185 megawatt (MW) Shuakhevi scheme, the 150MW Koromkheti scheme, and the 65MW Khertvisi scheme.   The Khertvisi scheme was not pursued by AGL due to significant economic and environmental risks and Koromkheti is in early stages of development under a separate InfraVentures project. Therefore only Shuakhevi is considered the Project and is being developed by Adjaristsqali Georgia LLC (AGL) as a joint venture between Indias Tata Power, Norways Clean Energy Invest (40 percent each) and IFC (20 percent). IFCs investment consists of an A loan of up to US$70 million and straight equity of up to $34 million (IFC project numbers 33435 and 37781). IFC also had an Advisory Services project to advise on AGLs retrenchment strategy and associated implementation plans, including sustainable livelihood opportunities for the communities and workforce (IFC project number 601449).   In addition to IFC, MIGA is providing a $63 million guarantee to Tata Power International Pte. Ltd. to cover its equity investment in the project (MIGA project number 12315).",1271,,,,A,,12315,,,,0,,Extractives,,Biodiversity; Other environmental; Other community health and safety issues,Active,15-Feb-18,,,15-Feb-18,,,,,,,,,,,,,,,,http://www.cao-ombudsman.org/cases/case_detail.aspx?id=1271,,,
EBRD,PCM,26,2015,Jordan,IPP4 Al-Manakher Power Project,"The EBRD is considering providing a senior loan of up to US$ 100 million to fund the development of a 240MW peaking power plant, 15 km east of Amman in Jordan (the “Project”). The Project is urgently required to ensure the quality and Other community health and safety issues of electricity supply in Jordan and to prepare the grid for future deployment of large quantities of intermittent renewable energy. The Project is being developed as the result of a competitive tender by the government of Jordan and will be implemented on a build, own, operate basis. All output will be sold to the National Electric Power Company.",2015/02,,"East Amman Society for Environmental Protection (EASEP)/chairman & Farhan Isaa Ahmed AlDaboubi
& all members of EASEP",,A,,44284,,,,0,,,,Consultation and disclosure,,,,,,,,,,,,,,,,,,,,,,,,
EBRD,PCM,26,2015,Jordan,IPP4 Al-Manakher Power Project,"The EBRD is considering providing a senior loan of up to US$ 100 million to fund the development of a 240MW peaking power plant, 15 km east of Amman in Jordan (the “Project”). The Project is urgently required to ensure the quality and Other community health and safety issues of electricity supply in Jordan and to prepare the grid for future deployment of large quantities of intermittent renewable energy. The Project is being developed as the result of a competitive tender by the government of Jordan and will be implemented on a build, own, operate basis. All output will be sold to the National Electric Power Company.",2015/02,,"East Amman Society for Environmental Protection (EASEP)/chairman & Farhan Isaa Ahmed AlDaboubi
& all members of EASEP",,A,,44284,,,,,,,,Consultation and disclosure,,,,,,,,,,,,,,,,,,,,,,,,
